Bug ID,Priority,Status,Endpoint,Error Type,User Story,Impact,Estimated Fix Time,Assigned To,Fixed Date,Notes
BUG-001,P0,Open,POST /api/sessions,Database NOT NULL (gm_id),US-MJ01,Critical - Blocks session creation,2h,,,"Extract gmId from JWT token in controller"
BUG-002,P0,Open,POST /api/sessions,Validation (title vs name),US-MJ01,Critical - Blocks session creation,1h,,,"Standardize DTO to accept name + description"
BUG-003,P0,Open,POST /api/chapters,Database NOT NULL (name),US-MJ07,Critical - Blocks chapter creation,2h,,,"Add @IsNotEmpty() validation on name field"
BUG-004,P0,Open,POST /api/chapter-events,Database NOT NULL (event_type),US-MJ09,Critical - Blocks event tracking,1h,,,"Add @IsNotEmpty() validation on eventType"
BUG-005,P1,Open,POST /api/characters/{id}/effects,Foreign Key (character_id),US-MJ12,Major - Effects fail with invalid character,2h,,,"Validate character exists before inserting effect"
BUG-006,P1,Open,POST /api/characters,Validation (stats > 99),US-J01,Major - Rejects valid CoC7e characters,1h,,,"Increase max validation from 99 to 200 for stats"
BUG-007,P2,Open,POST /api/characters,Validation (class field),US-J01,Medium - Frontend sends wrong field,1h,,,"Map 'class' to 'occupation' or update frontend"
BUG-008,P1,Open,POST /api/rolls,Validation (diceFormula format),US-J15-J20,Major - Dice rolling fails,3h,,,"Accept both diceFormula and diceType+quantity formats"
BUG-009,P1,Open,PATCH /api/characters/{id}/notes,Validation (title vs notes),US-J36,Major - Notes update fails,1h,,,"Update DTO to expect 'notes' field not 'title'"
BUG-010,P1,Open,POST /api/chapters,Foreign Key (session_id),US-MJ07,Major - Chapters fail with invalid session,2h,,,"Validate session exists before creating chapter"
BUG-011,P2,Open,POST /api/sanity/conditions,Validation (missing fields),US-J23,Medium - Sanity conditions fail,2h,,,"Add validation for characterId and type fields"
BUG-012,P1,Open,Character creation form,Validation inconsistency,US-J01,Major - Character creation UX degraded,2h,,,"Make occupation required in backend DTO"
BUG-013,P2,Open,POST /api/characters/{id}/generate-avatar,No error handling,US-J01,Medium - No fallback if OpenAI fails,3h,,,"Add try-catch and return default avatar on error"
BUG-014,P3,Open,PATCH /api/characters/{id},Business logic (HP <= 0),US-J32,Minor - No unconscious/dead state,2h,,,"Add logic to set status='unconscious' when HP <= 0"
BUG-015,P3,Open,GET /api/sessions,Missing status (archived),US-MJ02,Minor - Cannot archive sessions,3h,,,"Add 'archived' to status enum or add isArchived field"
BUG-016,P3,Open,WebSocket connection,No auto-reconnect,US-J30/US-J33,Minor - Poor UX on disconnection,2h,,,"Add reconnection logic in frontend WebSocket client"
BUG-017,P3,Open,e2e/02-character-creation.spec.ts,Flaky tests,N/A,Minor - Test stability,1h,,,"Use deterministic names instead of random timestamps"
BUG-001-OLD,P0,Fixed,POST /api/chapters (frontend),Missing JWT header,US-MJ07,Critical - Chapter creation failed,3h,,2026-01-24,"Fixed in queryClient.ts - Added Authorization header"
BUG-002-OLD,P0,Fixed,Database connection,Docker config,N/A,Critical - Backend crashes,2h,,2026-01-24,"Fixed Docker Compose configuration"
